Run Date,Plate,Well,Control State,Raw Data (RFU),Raw Data (RFU) Z'-factor
11/16/21,15124-DR-L02,A01,positive control (hit),4977,0.32
11/16/21,15124-DR-L02,A23,positive control (hit),5361,0.32
11/16/21,15124-DR-L02,B01,positive control (hit),4962,0.32
11/16/21,15124-DR-L02,B23,positive control (hit),5383,0.32
11/16/21,15124-DR-L02,C01,positive control (hit),5176,0.32
11/16/21,15124-DR-L02,C23,positive control (hit),5092,0.32
11/16/21,15124-DR-L02,D01,positive control (hit),5096,0.32
11/16/21,15124-DR-L02,D23,positive control (hit),5222,0.32
11/16/21,15124-DR-L02,E01,positive control (hit),5336,0.32
11/16/21,15124-DR-L02,E23,positive control (hit),5168,0.32
11/16/21,15124-DR-L02,F01,positive control (hit),5290,0.32
11/16/21,15124-DR-L02,F23,positive control (hit),5168,0.32
11/16/21,15124-DR-L02,G01,positive control (hit),5465,0.32
11/16/21,15124-DR-L02,G23,positive control (hit),5252,0.32
11/16/21,15124-DR-L02,H01,positive control (hit),5405,0.32
11/16/21,15124-DR-L02,H23,positive control (hit),5303,0.32
11/16/21,15124-DR-L02,I01,positive control (hit),5487,0.32
11/16/21,15124-DR-L02,I23,positive control (hit),5052,0.32
11/16/21,15124-DR-L02,J01,positive control (hit),5366,0.32
11/16/21,15124-DR-L02,J23,positive control (hit),5095,0.32
11/16/21,15124-DR-L02,K01,positive control (hit),5471,0.32
11/16/21,15124-DR-L02,K23,positive control (hit),5164,0.32
11/16/21,15124-DR-L02,L01,positive control (hit),5307,0.32
11/16/21,15124-DR-L02,L23,positive control (hit),5219,0.32
11/16/21,15124-DR-L02,M01,positive control (hit),5266,0.32
11/16/21,15124-DR-L02,M23,positive control (hit),4915,0.32
11/16/21,15124-DR-L02,N01,positive control (hit),5341,0.32
11/16/21,15124-DR-L02,N23,positive control (hit),4919,0.32
11/16/21,15124-DR-L02,O01,positive control (hit),5682,0.32
11/16/21,15124-DR-L02,O23,positive control (hit),4880,0.32
11/16/21,15124-DR-L02,P01,positive control (hit),19007,0.32
11/16/21,15124-DR-L02,P23,positive control (hit),4746,0.32
11/09/21,15029-DR01,A01,positive control (hit),7644,0.48
11/09/21,15029-DR01,A23,positive control (hit),7248,0.48
11/09/21,15029-DR01,B01,positive control (hit),7117,0.48
11/09/21,15029-DR01,B23,positive control (hit),7214,0.48
11/09/21,15029-DR01,C01,positive control (hit),7549,0.48
11/09/21,15029-DR01,C23,positive control (hit),7237,0.48
11/09/21,15029-DR01,D01,positive control (hit),6830,0.48
11/09/21,15029-DR01,D23,positive control (hit),7029,0.48
11/09/21,15029-DR01,E01,positive control (hit),7782,0.48
11/09/21,15029-DR01,E23,positive control (hit),7191,0.48
11/09/21,15029-DR01,F01,positive control (hit),6872,0.48
11/09/21,15029-DR01,F23,positive control (hit),7076,0.48
11/09/21,15029-DR01,G01,positive control (hit),7480,0.48
11/09/21,15029-DR01,G23,positive control (hit),7137,0.48
