Date,Experiments,A12,B12,C12,D12,E12,F12,G12,H12,I12,J12,K12,L12,M12,N12,O12,P12
05/14/20,Shipment1,45.26723917,45.74029004,45.85490056,45.52449055,46.57422571,46.0788908,46.5797728,48.71882069,48.75242562,48.19113135,45.86108627,46.55343558,47.61078892,47.72270713,48.19950064,47.70526357
05/14/20,Shipment2,45.40808006,47.7429455,43.92374674,43.14941536,43.27422515,42.76543185,41.96885838,48.08324164,47.49217302,42.06243884,42.51223682,44.3628362,45.51790288,46.654454,48.38142263,31.14624578
05/14/20,Shipment3,52.50187213,52.94992769,52.33952664,51.94965517,50.31866793,50.41363282,52.90310334,53.07292308,53.30584801,50.76951981,50.55733618,50.5055086,52.03509356,52.28980192,52.3270491,52.59339769
05/22/20,Shipment 4,50.38285581,51.90384807,51.66378843,52.57384327,52.43845891,51.91612193,51.79613396,54.50463347,54.91375616,53.73102661,52.74403598,53.83811966,53.79442185,53.68309874,53.76495699,53.52688571
05/22/20,Shipment 5,46.89510528,47.30081694,48.57769766,48.10141294,49.55445815,44.45481943,49.84827498,49.31588325,51.44490868,50.63949069,51.64879046,50.95684818,52.39126941,53.02499141,53.81353286,53.68148703
06/10/20,Shipment 6,19.06633975,20.97479518,20.8670043,21.40053346,22.8956792,22.85506707,24.65491539,26.37095977,26.23212171,25.64877856,26.46669466,26.04727033,26.82012978,27.96858556,27.72678357,27.48335913
06/25/20,Shipment 8,13.94,14.43,13.96,13.52,14.48,13.94,15.74,14.74,15.34,14.72,14.72,15.37,15.83,16.54,14.64,15.09
06/26/20,Shipment 9,21.2149753,21.59410335,23.58628274,22.59783189,24.06375727,23.62991956,23.5297406,26.37249691,26.48584338,26.51032409,24.95276306,24.62706572,26.61924147,25.44285786,26.21380279,25.84646482
07/09/20,Shipment 10,58.23,59.76,61.02,62.83,65.22,63.41,65.49,65.81,64.62,65.11,64.45,64.96,65.85,65.03,64.73,65.27
07/09/20,Shipment 11a,73.14,73.74,73.96,72.88,73.81,72.36,73.31,74.87,73.24,72.67,71.82,73.33,74.23,74.02,73.41,72.68
07/10/20,Shipment 11b,73.11833418,74.47722273,72.22145003,71.84674889,72.57083605,70.18157659,73.44949718,71.97095064,72.20990407,70.81236831,71.91343269,71.06999652,71.87573597,71.99732135,70.51989069,70.57460696
07/16/20,Shipment 11-12,38.29,41.92,41.16,41.63,43.71,43.97,46.02,48.25,50.21,48.95,48.26,47.8,46.05,46.03,41.63,41.4
07/16/20,Shipment 8 repeats,41.29644473,47.35000539,46.77796885,44.29124719,49.48596529,48.26935459,50.01658673,51.12082062,42.26721675,50.78670334,,,,,,
07/23/20,Shipment 13 and 14,45.67596779,41.72916089,45.17878071,45.51261862,50.77475799,46.01310992,48.79096593,49.10323354,48.72582409,45.31923894,46.06183166,46.3544438,48.13212633,49.53876792,45.79830528,43.4783702
07/31/20,Shipment 7 and repeats,53.55961254,53.73975401,55.47355938,52.15975772,50.61824766,51.68804128,54.22128568,55.20716922,53.88607722,52.04844103,51.57471987,51.15685975,51.20968549,52.05388568,48.88925552,48.09556763
08/05/20,Shipment 15,47.2963498,47.35524318,46.04087591,46.51148518,47.68895943,46.86491928,48.85085558,49.06675569,49.55108705,47.59056493,46.0140535,45.10200838,47.99945467,47.62784291,37.03632859,35.49616767
08/05/20,Shipment 16,47.64,47.14,45.92,46,46.62,45.84,45.36,46.69,47.11,47.01,43.28,43.11,44.97,45.71,33.87,31.93
08/14/20,Shipment 15 16 redo,53.94126044,55.48903574,54.2510164,54.49278907,54.39471951,55.07234838,54.59238123,57.45332891,55.99521518,55.41523149,55.89889678,55.40807547,56.32895872,55.79786672,56.24981616,57.04409392
08/14/20,Shipment 17,45.28777766,45.37890549,45.50388418,46.81495107,48.53640923,48.38693237,48.52979186,49.85027242,50.83302582,49.52985723,50.06869914,50.79880649,50.24525792,48.66186702,49.31760673,49.09384678
08/24/20,Shipment 18 and 19,74.28650304,74.83532362,73.11471483,73.14476982,72.82637461,72.14636818,73.98271159,74.35960011,75.13208094,72.61586867,73.1445059,73.90124623,72.63357882,73.26007456,72.61969938,74.04002832
08/24/20,Shipment 19b,78.0589541,79.17665633,72.48138334,72.01266446,72.10863639,70.45984383,72.2227641,72.73167113,73.0284464,71.33968291,71.21986433,71.84701409,72.04256287,73.11017415,71.92151422,72.36048022
08/24/20,Shipment 19c,69.38316136,68.13419329,69.43258308,70.04145543,70.63726347,69.40393097,70.71244558,71.97517928,71.65135156,71.15853031,71.81566091,71.28456204,71.69257342,72.38789755,71.58248455,70.23051386
09/03/20,Shipment 20,39.97462577,43.30014152,43.80423725,44.73268268,45.62228118,45.87407592,50.93634309,51.11658843,51.7115632,50.82249361,51.2496307,50.32530546,50.416339,52.30798354,52.92690509,53.40861661
09/16/20,Shipment 21a,35.94016259,36.86735921,35.57688361,37.78672332,36.15571911,36.23230495,35.69663759,37.61204214,36.94178896,36.92697256,35.5783594,37.06219913,36.12231149,36.63183376,36.01380278,38.21617914
09/16/20,Shipment 21b,36.08989253,36.12260938,35.1518246,34.7526828,34.70945489,34.55406508,35.49898499,35.36054545,36.83256381,34.37758509,35.54848395,35.34231717,34.4746645,35.02969549,36.04871014,36.49234329
09/18/20,Shipment 22,39.80816257,34.91987936,33.93359665,34.24284798,34.64831164,32.91434557,34.43209033,34.62672561,34.44047845,32.72708894,36.44031795,34.64409143,34.04491492,35.392728,35.0232379,35.05164586
09/18/20,Gyorgy1,33.4900623,33.93837357,35.76693741,34.39749579,32.74329743,31.55056266,34.17143139,34.20479048,34.48588524,31.85371928,33.0271732,32.72114865,32.38127277,33.88339821,34.23619544,33.04780014
09/18/20,Gyorgy2,32.63877684,30.9955889,31.38696947,29.86832252,31.94496126,29.87800487,32.04850554,32.40287192,32.62949265,29.47709445,31.44722314,30.13512838,31.32094926,31.64936798,31.50658864,30.82580286
10/02/20,Shipment 23,56.23582766,55.58336355,57.30212822,55.53939552,55.34456772,53.78817882,58.93140501,59.82775319,57.83457677,56.59169526,58.55894214,59.68578004,58.17021251,59.63228622,61.26322581,62.07382441
10/02/20,Shipment 24,61.60785973,60.68607671,59.25180271,58.7861658,59.42387799,13.16391793,57.28504854,59.73951069,58.42305678,57.95019543,57.92488188,58.36331242,58.26698084,58.82143634,59.25752589,60.48119739
10/13/20,Shipment 24 and 25,84.67428309,83.94305798,81.93698427,81.33473916,81.60379383,79.88835396,81.03987388,81.96668439,84.05455436,82.93741773,83.3320485,83.80269046,85.97269564,85.20961832,88.22310517,88.37481727
10/13/20,Shipment 24b,61.61,60.69,59.25,58.79,59.42,13.16,57.29,59.74,58.42,57.95,57.92,58.36,58.27,58.82,59.26,60.48
10/13/20,Shipment 25 and 26,90.06116996,89.50412635,89.48385793,88.53325175,87.59582707,87.12546151,87.61115038,88.00944066,88.08380556,87.38544799,88.19141451,87.93135713,89.32433393,89.70867735,90.04297383,90.39979712
10/21/20,Shipment 24b,67.2,67.97,70.34,69.17,72.86,74.29,72.83,71.21,73.32,73.51,72.61,72.6,73.76,75.09,,
10/21/20,Shipment 25 and XChem,77.16,77.31,77.03,74.92,75.86,75.94,79.75,77.6,76.99,76.81,76.3,76.28,77.05,77.82,77.78,76.59
10/21/20,Shipment 27a,72.8,73.92,73.78,73.29,74.29,72.97,73.66,73.95,73,71.22,72.4,71.29,72.86,73.93,73.33,
