,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_01,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[45.25264782 45.65045191 44.34492057 44.58056237 41.02266276 42.96518553
 33.43617275 34.46670323 16.81577249 17.57428276  7.10798166 27.14800167
  0.          0.          0.          0.20442592  0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[45.26723917 45.74029004 45.85490056 45.52449055 46.57422571 46.0788908
 46.5797728  48.71882069 48.75242562 48.19113135 45.86108627 46.55343558
 47.61078892 47.72270713 48.19950064 47.70526357]","[0.15810758 0.         0.         0.         0.19314918 0.16234289
 0.         0.         0.17909098 0.17040917 0.18060933 0.35064494
 0.18187262 0.         0.16915879 0.31699834]",[ 0.1244956  46.41546352 -7.0308002   1.31858952],[0.02795324 0.26268997 0.01386017 0.05223458],[0.69803839 0.01262473 1.57988127],[11]
1,ID_02,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[47.9054844  48.60338237 46.80958058 47.26543708 39.20374151 43.26840783
 35.07917846 35.38248842 18.92074719 19.00536142  9.59355428 30.35161838
  0.          0.80253021  0.          0.          0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-0.51279171 48.16307749 -6.99812543  1.14061882],[0.50971552 0.85858866 0.02973975 0.08651729],[1.90937812],[11]
2,ID_03,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[49.49 52.5  48.59 51.19 49.16 50.36 15.9  38.13 38.24 39.53  0.    0.
  0.    0.   30.83 34.38  0.    0.    0.    0.    0.    0.  ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[52.50187213 52.94992769 52.33952664 51.94965517 50.31866793 50.41363282
 52.90310334 53.07292308 53.30584801 50.76951981 50.55733618 50.5055086
 52.03509356 52.28980192 52.3270491  52.59339769]","[0.16330551 0.         0.15733685 0.15595855 0.         0.3176494
 0.         0.         0.         0.32995623 0.         0.
 0.16113268 0.15661704 0.         0.30575581]",[ 0.10933492 51.92657905 -6.92724511  1.01902862],[0.03052774 0.2543216  0.1518983  0.34281502],[9.99917750e+01 1.49120145e-02 1.03596984e+00],[15]
3,ID_04,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[52.8347783  53.64139819 44.38458988 53.59027467 49.53691754 50.94383991
 37.27713679 39.86767393  9.17814361 14.53666336  1.65267059  2.18949466
  0.14365266  0.2916939   0.          0.1420563   0.          0.
  0.          0.          0.          0.2197338 ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[51.90384807 51.66378843 52.57384327 52.43845891 51.91612193 51.79613396
 54.50463347 54.91375616 53.73102661 52.74403598 53.83811966 53.79442185
 53.68309874 53.76495699 53.52688571]","[0.22695768 0.23739229 0.24668505 0.22291307 0.27954906 0.25666146
 0.24229049 0.27644702 0.16198739 0.13144044 0.27338943 0.26102509
 0.13150605 0.23249687]",[ 0.2268894  53.11045295 -7.13310873  2.00787897],[0.01289546 0.2323128  0.01121504 0.08584693],[1.02944962 0.00233216 1.00561084],[2]
4,ID_05,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[51.53355141 54.85113899 53.50700108 53.66582083 51.54374763 51.54926965
 43.29440786 46.59505676  9.77267816 23.163964    2.98603143  3.19043627
  0.          0.29874236  0.          0.14174467  0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[46.89510528 47.30081694 48.57769766 48.10141294 49.55445815 44.45481943
 49.84827498 49.31588325 51.44490868 50.63949069 51.64879046 50.95684818
 52.39126941 53.02499141 53.81353286 53.68148703]","[0.29903027 0.22416524 0.25323027 0.21117454 0.22652913 0.23762124
 0.14106882 0.12032037 0.24712935 0.11504325 0.25750786 0.23286484
 0.23874486]",[ 0.2150101  52.73200241 -6.97704319  2.10276982],[0.01485622 0.34260131 0.02129901 0.10809465],[7.03977556e-01 2.87763967e-03 1.33434348e+01],"[8, 9]"
5,ID_06,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[27.32808289 27.89849662 29.09563449 29.73862545 24.15487967 24.21785116
 20.37045423 20.44374582  7.97719035  8.16900406  2.20234906  2.48008251
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-0.1046637  28.19435648 -7.10155232  1.49327729],[0.30522784 0.49775807 0.02724728 0.12140057],[0.8738302],[]
6,ID_07,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 5.70969709  9.10398227 19.36785401 19.76166797 16.27416182 16.27972336
 14.0938776  15.29514594  3.72860535  9.71238296  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[13.94 14.43 13.96 13.52 14.48 13.94 15.74 14.74 15.34 14.72 14.72 15.37
 15.83 16.54 14.64 15.09]","[0.         0.         0.         0.18324829 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.17339583 0.         0.16075114]",[ 0.03230702 14.86336943 -6.88112696  4.81044417],[ 0.01685257  0.19151761  0.05927064 12.05080502],[4.76744706e+00 4.54724218e-03 6.13506448e-01],[0]
7,ID_08,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[22.87331166 23.53075328 21.64920187 22.41809456 20.63282201 20.71546359
 17.52525097 18.48746797 11.59336298 13.76353102  1.12615438  1.3233636
  0.          0.          0.16889261  0.19573902  0.          0.
  0.          0.          0.          0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[21.2149753  21.59410335 23.58628274 22.59783189 24.06375727 23.62991956
 23.5297406  26.37249691 26.48584338 26.51032409 24.95276306 24.62706572
 26.61924147 25.44285786 26.21380279 25.84646482]","[0.         0.1547609  0.13489277 0.16666673 0.18556852 0.17521446
 0.         0.         0.17202141 0.         0.17404446 0.
 0.         0.16449937 0.18911051 0.        ]",[ 0.0927491  22.9606074  -6.96212684  1.56585332],[0.02104373 0.35654218 0.03292874 0.13834136],[0.70855714 0.0071278  5.58122688],[9]
8,ID_09,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[62.6  63.92 62.23 62.73 58.17 59.33 44.87 46.04 32.86 44.86 27.06 29.97
  1.65  1.79  0.    0.    0.    0.    0.    0.    0.    0.  ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",[65.22 63.41 65.49 65.81 64.62 65.11 64.45 64.96 65.85 65.03 64.73 65.27],"[0.   0.18 0.   0.2  0.2  0.   0.   0.   0.   0.   0.   0.22 0.   0.2
 0.   0.23]",[ 0.07637618 64.98429771 -6.73926396  0.92619758],[0.02493074 0.18231082 0.05667319 0.08965871],[1.91017361e+01 9.94673320e-03 4.00324043e-01],[]
9,ID_10,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[64.35 65.53 63.34 64.19 61.31 61.37 45.16 54.6  45.77 47.22 24.86 26.66
  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]","[73.14 73.74 73.96 72.88 73.81 72.36 73.31 74.87 73.24 72.67 71.82 73.33
 74.23 74.02 73.41 72.68]","[0.22 0.   0.   0.   0.2  0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.18 0.  ]",[ 3.72316835e-02  7.33144881e+01 -6.83276227e+00  8.42333324e-01],[0.01959487 0.18534527 0.0685271  0.09879592],[3.12091664e+01 6.14382199e-03 5.49715277e-01],[]
