,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_0001,CVD-0019636,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[22430. 24389. 18936. 19278. 14342. 15112. 12040. 12545.  9948. 10372.
  9766.  9797.  8679.  8803.  8479.  8626.  8215.  8595.  8591.  8715.
  8444.  8699.  9333.  9354.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[37618 35882 39561 35957 37036 40745 36937 41221 38930 36419 35000 36503
 38032 35148 33009 34356 40012 38604 39708 38216 42163 39946 37486 38872
 42128 36330 34911 35984 38366 36150 35114 36239]","[7908 7840 7782 7786 7543 7630 7959 8073 7847 7838 7781 7999 7781 7770
 7661 7848 8012 7866 7754 7798 7708 7839 7921 7869]",[ 7.83487539e+03  3.76009966e+04 -7.26086636e+00 -8.83269601e-01],[2.45399665e-01 8.50763770e-02 3.22381486e+03 1.42284745e+03],[ 431986.29006265   14261.86661174 5139668.89196404],None
1,ID_0002,CVD-0019635,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[33178. 38304. 36725. 43258. 32507. 37077. 34417. 34441. 25880. 27528.
 22453. 22788. 17290. 18801. 12917. 13484. 11114. 11149. 10078. 10452.
  9350.  9404.  9922.  9991.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[37618 35882 39561 35957 37036 40745 36937 41221 38930 36419 35000 36503
 38032 35148 33009 34356 40012 38604 39708 38216 42163 39946 37486 38872
 42128 36330 34911 35984 38366 36150 35114 36239]","[7908 7840 7782 7786 7543 7630 7959 8073 7847 7838 7781 7999 7781 7770
 7661 7848 8012 7866 7754 7798 7708 7839 7921 7869]",[ 7.82668614e+03  3.77412978e+04 -5.80576565e+00 -1.10780873e+00],[2.30125559e-02 2.35507325e-02 5.92649701e+02 1.33285320e+02],[4390046.95260983   14176.05809386 5165043.32554949],None
2,ID_0003,CVD-0019634,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[33790. 36777. 36324. 39114. 34131. 38411. 35083. 39455. 30088. 33296.
 29836. 32628. 23192. 26413. 18219. 18330. 13272. 14017. 12245. 12512.
 10046. 10630. 10294. 10605.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[37618 35882 39561 35957 37036 40745 36937 41221 38930 36419 35000 36503
 38032 35148 33009 34356 40012 38604 39708 38216 42163 39946 37486 38872
 42128 36330 34911 35984 38366 36150 35114 36239]","[7908 7840 7782 7786 7543 7630 7959 8073 7847 7838 7781 7999 7781 7770
 7661 7848 8012 7866 7754 7798 7708 7839 7921 7869]",[ 7.82617601e+03  3.75711729e+04 -5.39937202e+00 -1.04350933e+00],[2.80975071e-02 2.98810916e-02 6.60110364e+02 1.82851207e+02],[3470081.87109432   14175.15066056 5139348.825524  ],None
3,ID_0004,CVD-0019633,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[32169. 34757. 33640. 35674. 26063. 30250. 24192. 24812. 16656. 17475.
 13908. 14554. 11383. 12380.  9820.  9945.  8617.  9053.  8626.  9006.
  8411.  8507.  8745.  9193.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[37618 35882 39561 35957 37036 40745 36937 41221 38930 36419 35000 36503
 38032 35148 33009 34356 40012 38604 39708 38216 42163 39946 37486 38872
 42128 36330 34911 35984 38366 36150 35114 36239]","[7908 7840 7782 7786 7543 7630 7959 8073 7847 7838 7781 7999 7781 7770
 7661 7848 8012 7866 7754 7798 7708 7839 7921 7869]",[ 7.82752195e+03  3.75535542e+04 -6.35258135e+00 -1.07726950e+00],[6.50269337e-02 5.61242553e-02 1.52684218e+03 2.46458179e+02],[1622279.83814798   14178.66977927 5139995.61456933],None
4,ID_0005,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[53380. 55904. 53683. 53821. 50850. 51256. 49998. 50625. 48856. 51018.
 40406. 45766. 37637. 38214. 26526. 27021. 21290. 21922. 17255. 17287.
 14625. 15262. 13826. 13927.]","[-9.30277065 -9.30277065 -9.00217692 -9.00217692 -8.69896998 -8.69896998
 -8.39793999 -8.39793999 -8.09690999 -8.09690999 -7.79588    -7.79588
 -7.60205998 -7.60205998 -7.12493872 -7.12493872 -6.90657832 -6.90657832
 -6.60380066 -6.60380066 -6.30277066 -6.30277066 -6.00217692 -6.00217692]","[50824 51286 52942 51870 49085 48531 52303 48450 50871 53877 51434 54395
 52742 54151 52417 53671 51093 53044 52521 53512 54723 53856 51698 53187
 50990 52119 50393 51997 50869 53878 52381 53570]","[12256 11731 12314 12116 12242 11718 12153 12363 12357 11963 12374 12726
 12270 11985 12481 12184 12152 12073 12343 11930 12234 12326 12137 11682
 12012 12113 12154 12211]",[ 1.21665480e+04  5.24867539e+04 -7.34093003e+00 -1.18301827e+00],[6.14568567e-02 6.42746602e-02 2.55330085e+03 1.42373962e+03],[2145968.78541959   51243.32188324 2684641.66461096],None
5,ID_0006,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[106527. 111541.  89450.  93481. 126423. 133343.  63530.  66558. 122660.
 125404.  45157.  46198.  31656.  32572.  21089.  21219.  17459.  17908.
  15551.  16112.  14213.  14489.  13928.  15003.]","[-8.71219827 -8.71219827 -8.41116828 -8.41116828 -8.30103001 -8.30103001
 -8.11013828 -8.11013828 -8.00000001 -8.00000001 -7.80910829 -7.80910829
 -6.60414963 -6.60414963 -6.12708657 -6.12708657 -5.90517963 -5.90517963
 -5.60414964 -5.60414964 -5.30320692 -5.30320692 -5.00217693 -5.00217693]","[146390 122687 140873 124221 145288 124424 139843 111508 145046 125782
 139725 126371 144051 127043 138165 127516 152495 130424 137260 129663
 148828 130095 134574 126203 137398 117356 112338 129320  99185 121037]","[14303 10695 13151 10708 13046 10860 13022 11179 13091 11215 13002 14386
 13516 11742 13231 11773 13155 12921 12784 11604 14183 12066 12916 11292
 12570 11148 12029  9434 12443 12006]",[ 1.23178576e+04  1.31194303e+05 -7.73927471e+00 -7.78407566e-01],[7.98141932e-04 1.14991869e-03 7.33262266e+01 3.60128928e+01],[3.51722840e+08 1.34848967e+06 1.42434039e+08],None
6,ID_0007,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[21882. 23510. 16355. 16770. 12448. 12772. 10522. 10874.  9273.  9483.
  8718.  9034.  8333.  8719.  7910.  8245.  7795.  7977.  8086.  8273.
  8841.  9412.  8279.  8829.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[43641 44131 43856 45448 43177 43301 43308 45590 44405 43551 45101 46495
 44873 44794 45069 45102 43366 42778 43623 43727 44583 43793 45246 43112
 42347 43083 45693 43332 43005 43689]","[7796 7840 7755 7669 7691 7627 7674 7887 7813 7663 7702 7833 7909 7528
 7484 7723 7790 7687 7730 7666 7571 7625 8096 7744 7595 7713]",[ 8.50826183e+03  2.74387500e+04 -7.04680333e+00 -1.63136574e+00],[1.59311733e+02 2.85763542e+03 9.47469349e-02 2.53853239e-01],[323999.93696671],None
7,ID_0008,CVD-0019575,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[44104. 44308. 44749. 44861. 42330. 42710. 41777. 42448. 38279. 40363.
 34896. 37351. 31316. 31457. 20911. 20945. 15470. 15705. 12619. 12810.
 11179. 11859.  9890. 10070.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[43641 44131 43856 45448 43177 43301 43308 45590 44405 43551 45101 46495
 44873 44794 45069 45102 43366 42778 43623 43727 44583 43793 45246 43112
 42347 43083 45693 43332 43005 43689]","[7796 7840 7755 7669 7691 7627 7674 7887 7813 7663 7702 7833 7909 7528
 7484 7723 7790 7687 7730 7666 7571 7625 8096 7744 7595 7713]",[ 7.72612435e+03  4.42118575e+04 -5.35110802e+00 -1.09326827e+00],[1.51411467e-01 1.60101439e-01 4.54827489e+03 1.10787235e+03],[ 785506.3202827    15942.13719627 1025991.35107936],None
8,ID_0009,CVD-0019562,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[33103. 35415. 33734. 39051. 30028. 34086. 33223. 37119. 32300. 32787.
 29535. 32293. 29813. 32204. 30090. 31331. 30014. 32409. 25778. 28047.
 22532. 27312. 19689. 21006.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[30309 30304 30060 30514 27555 32482 31705 32859 30492 31701 30288 31093
 29417 32833 31572 33013 35476 33611 31937 33991 34756 32673 34446 32867
 36558 32950 28809 31770 30471 32246]","[7248 7117 7214 7549 7237 6830 7029 7191 6872 7076 7480 7137 6929 7138
 7184 7620 7060 7348 7244 7004 7294 7278 7156 6872 7181 7482 7154 6797
 7213]",[ 7.17014247e+03  3.23343707e+04 -3.96345443e+00 -1.04590101e+00],[5.33189331e-03 1.51613187e-02 1.13849299e+03 1.12211855e+03],[5212828.17459224   40795.36030599 3971348.20049772],None
9,ID_0010,CVD-0019556,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[30818. 32692. 26230. 40070. 22885. 25057. 19280. 22100. 15017. 15224.
 11110. 11807.  9456. 10136.  7765.  7889.  7029.  7059.  6676.  6737.
  6656.  6890.  6546.  6792.]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]","[30309 30304 30060 30514 27555 32482 31705 32859 30492 31701 30288 31093
 29417 32833 31572 33013 35476 33611 31937 33991 34756 32673 34446 32867
 36558 32950 28809 31770 30471 32246]","[7248 7117 7214 7549 7237 6830 7029 7191 6872 7076 7480 7137 6929 7138
 7184 7620 7060 7348 7244 7004 7294 7278 7156 6872 7181 7482 7154 6797
 7213]",[ 7.16983866e+03  3.20441497e+04 -6.34268186e+00 -1.44121165e+00],[1.40506295e-02 1.32078204e-02 3.77787295e+02 7.67713606e+01],[6139316.04366545   40795.4498458  3837463.32750344],None
