Run Date,Plate,Well,Control State,Raw Data (RFU),Raw Data (RFU) Z'-factor
11/16/21,15124-DR-L02,A02,negative control,29549,0.32
11/16/21,15124-DR-L02,A24,negative control,25181,0.32
11/16/21,15124-DR-L02,B02,negative control,27439,0.32
11/16/21,15124-DR-L02,B24,negative control,25582,0.32
11/16/21,15124-DR-L02,C02,negative control,30052,0.32
11/16/21,15124-DR-L02,C24,negative control,25197,0.32
11/16/21,15124-DR-L02,D02,negative control,28483,0.32
11/16/21,15124-DR-L02,D24,negative control,25573,0.32
11/16/21,15124-DR-L02,E02,negative control,30741,0.32
11/16/21,15124-DR-L02,E24,negative control,26672,0.32
11/16/21,15124-DR-L02,F02,negative control,29467,0.32
11/16/21,15124-DR-L02,F24,negative control,26951,0.32
11/16/21,15124-DR-L02,G02,negative control,31157,0.32
11/16/21,15124-DR-L02,G24,negative control,27984,0.32
11/16/21,15124-DR-L02,H02,negative control,28177,0.32
11/16/21,15124-DR-L02,H24,negative control,28009,0.32
11/16/21,15124-DR-L02,I02,negative control,32386,0.32
11/16/21,15124-DR-L02,I24,negative control,28238,0.32
11/16/21,15124-DR-L02,J02,negative control,27949,0.32
11/16/21,15124-DR-L02,J24,negative control,27735,0.32
11/16/21,15124-DR-L02,K02,negative control,32307,0.32
11/16/21,15124-DR-L02,K24,negative control,27753,0.32
11/16/21,15124-DR-L02,L02,negative control,29699,0.32
11/16/21,15124-DR-L02,L24,negative control,26847,0.32
11/16/21,15124-DR-L02,M02,negative control,31390,0.32
11/16/21,15124-DR-L02,M24,negative control,27196,0.32
11/16/21,15124-DR-L02,N02,negative control,19738,0.32
11/16/21,15124-DR-L02,N24,negative control,25603,0.32
11/16/21,15124-DR-L02,O02,negative control,32832,0.32
11/16/21,15124-DR-L02,O24,negative control,27023,0.32
11/16/21,15124-DR-L02,P02,negative control,28979,0.32
11/16/21,15124-DR-L02,P24,negative control,26212,0.32
11/09/21,15029-DR01,A02,negative control,30309,0.48
11/09/21,15029-DR01,A24,negative control,30304,0.48
11/09/21,15029-DR01,B02,negative control,30060,0.48
11/09/21,15029-DR01,B24,negative control,30514,0.48
11/09/21,15029-DR01,C02,negative control,27555,0.48
11/09/21,15029-DR01,C24,negative control,32482,0.48
11/09/21,15029-DR01,D02,negative control,31705,0.48
11/09/21,15029-DR01,D24,negative control,32859,0.48
11/09/21,15029-DR01,E02,negative control,30492,0.48
11/09/21,15029-DR01,E24,negative control,31701,0.48
11/09/21,15029-DR01,F02,negative control,30288,0.48
11/09/21,15029-DR01,F24,negative control,31093,0.48
11/09/21,15029-DR01,G02,negative control,29417,0.48
11/09/21,15029-DR01,G24,negative control,32833,0.48
11/09/21,15029-DR01,H02,negative control,31572,0.48
11/09/21,15029-DR01,H24,negative control,33013,0.48
11/09/21,15029-DR01,I02,negative control,35476,0.48
11/09/21,15029-DR01,I24,negative control,33611,0.48
11/09/21,15029-DR01,J02,negative control,31937,0.48
11/09/21,15029-DR01,J24,negative control,33991,0.48
11/09/21,15029-DR01,K02,negative control,51469,0.48
11/09/21,15029-DR01,K24,negative control,34756,0.48
11/09/21,15029-DR01,L02,negative control,32673,0.48
11/09/21,15029-DR01,L24,negative control,34446,0.48
11/09/21,15029-DR01,M02,negative control,40695,0.48
11/09/21,15029-DR01,M24,negative control,32867,0.48
11/09/21,15029-DR01,N02,negative control,36558,0.48
11/09/21,15029-DR01,N24,negative control,32950,0.48
11/09/21,15029-DR01,O02,negative control,28809,0.48
11/09/21,15029-DR01,O24,negative control,31770,0.48
11/09/21,15029-DR01,P02,negative control,30471,0.48
11/09/21,15029-DR01,P24,negative control,32246,0.48
11/09/21,15029-DR02,A02,negative control,31947,0.68
11/09/21,15029-DR02,A24,negative control,28542,0.68
11/09/21,15029-DR02,B02,negative control,28051,0.68
11/09/21,15029-DR02,B24,negative control,28614,0.68
11/09/21,15029-DR02,C02,negative control,33261,0.68
11/09/21,15029-DR02,C24,negative control,29144,0.68
11/09/21,15029-DR02,D02,negative control,28748,0.68
11/09/21,15029-DR02,D24,negative control,29036,0.68
11/09/21,15029-DR02,E02,negative control,31389,0.68
11/09/21,15029-DR02,E24,negative control,29495,0.68
11/09/21,15029-DR02,F02,negative control,29337,0.68
11/09/21,15029-DR02,F24,negative control,30628,0.68
11/09/21,15029-DR02,G02,negative control,32504,0.68
11/09/21,15029-DR02,G24,negative control,29374,0.68
11/09/21,15029-DR02,H02,negative control,31807,0.68
11/09/21,15029-DR02,H24,negative control,30753,0.68
11/09/21,15029-DR02,I02,negative control,32894,0.68
11/09/21,15029-DR02,I24,negative control,31200,0.68
11/09/21,15029-DR02,J02,negative control,29501,0.68
11/09/21,15029-DR02,J24,negative control,30701,0.68
11/09/21,15029-DR02,K02,negative control,33387,0.68
11/09/21,15029-DR02,K24,negative control,35629,0.68
11/09/21,15029-DR02,L02,negative control,33726,0.68
11/09/21,15029-DR02,L24,negative control,36113,0.68
11/09/21,15029-DR02,M02,negative control,37591,0.68
11/09/21,15029-DR02,M24,negative control,31802,0.68
11/09/21,15029-DR02,N02,negative control,28730,0.68
11/09/21,15029-DR02,N24,negative control,31883,0.68
11/09/21,15029-DR02,O02,negative control,31454,0.68
11/09/21,15029-DR02,O24,negative control,30328,0.68
11/09/21,15029-DR02,P02,negative control,29681,0.68
11/09/21,15029-DR02,P24,negative control,29675,0.68
11/09/21,15029-DR03,A02,negative control,31481,0.64
11/09/21,15029-DR03,A24,negative control,28766,0.64
11/09/21,15029-DR03,B02,negative control,31326,0.64
11/09/21,15029-DR03,B24,negative control,30369,0.64
11/09/21,15029-DR03,C02,negative control,31461,0.64
11/09/21,15029-DR03,C24,negative control,30053,0.64
11/09/21,15029-DR03,D02,negative control,28893,0.64
11/09/21,15029-DR03,D24,negative control,28753,0.64
11/09/21,15029-DR03,E02,negative control,32337,0.64
11/09/21,15029-DR03,E24,negative control,29682,0.64
11/09/21,15029-DR03,F02,negative control,30115,0.64
11/09/21,15029-DR03,F24,negative control,30070,0.64
11/09/21,15029-DR03,G02,negative control,33965,0.64
11/09/21,15029-DR03,G24,negative control,30704,0.64
11/09/21,15029-DR03,H02,negative control,28712,0.64
11/09/21,15029-DR03,H24,negative control,30584,0.64
11/09/21,15029-DR03,I02,negative control,32374,0.64
11/09/21,15029-DR03,I24,negative control,30401,0.64
11/09/21,15029-DR03,J02,negative control,33283,0.64
11/09/21,15029-DR03,J24,negative control,23397,0.64
11/09/21,15029-DR03,K02,negative control,37885,0.64
11/09/21,15029-DR03,K24,negative control,34287,0.64
11/09/21,15029-DR03,L02,negative control,36519,0.64
11/09/21,15029-DR03,L24,negative control,34220,0.64
11/09/21,15029-DR03,M02,negative control,32571,0.64
11/09/21,15029-DR03,M24,negative control,32425,0.64
11/09/21,15029-DR03,N02,negative control,32021,0.64
11/09/21,15029-DR03,N24,negative control,32716,0.64
11/09/21,15029-DR03,O02,negative control,32814,0.64
11/09/21,15029-DR03,O24,negative control,29806,0.64
11/09/21,15029-DR03,P02,negative control,30142,0.64
11/09/21,15029-DR03,P24,negative control,30151,0.64
11/04/21,14974-DR05,A02,negative control,50824,0.85
11/04/21,14974-DR05,A24,negative control,51286,0.85
11/04/21,14974-DR05,B02,negative control,52942,0.85
11/04/21,14974-DR05,B24,negative control,51870,0.85
11/04/21,14974-DR05,C02,negative control,49085,0.85
11/04/21,14974-DR05,C24,negative control,48531,0.85
11/04/21,14974-DR05,D02,negative control,52303,0.85
11/04/21,14974-DR05,D24,negative control,48450,0.85
11/04/21,14974-DR05,E02,negative control,50871,0.85
11/04/21,14974-DR05,E24,negative control,53877,0.85
11/04/21,14974-DR05,F02,negative control,51434,0.85
11/04/21,14974-DR05,F24,negative control,54395,0.85
11/04/21,14974-DR05,G02,negative control,52742,0.85
11/04/21,14974-DR05,G24,negative control,54151,0.85
11/04/21,14974-DR05,H02,negative control,52417,0.85
11/04/21,14974-DR05,H24,negative control,53671,0.85
11/04/21,14974-DR05,I02,negative control,51093,0.85
11/04/21,14974-DR05,I24,negative control,53044,0.85
11/04/21,14974-DR05,J02,negative control,52521,0.85
11/04/21,14974-DR05,J24,negative control,53512,0.85
11/04/21,14974-DR05,K02,negative control,54723,0.85
11/04/21,14974-DR05,K24,negative control,53856,0.85
11/04/21,14974-DR05,L02,negative control,51698,0.85
11/04/21,14974-DR05,L24,negative control,53187,0.85
11/04/21,14974-DR05,M02,negative control,50990,0.85
11/04/21,14974-DR05,M24,negative control,52119,0.85
11/04/21,14974-DR05,N02,negative control,50393,0.85
11/04/21,14974-DR05,N24,negative control,51997,0.85
11/04/21,14974-DR05,O02,negative control,50869,0.85
11/04/21,14974-DR05,O24,negative control,53878,0.85
11/04/21,14974-DR05,P02,negative control,52381,0.85
11/04/21,14974-DR05,P24,negative control,53570,0.85
11/01/21,14974-DR01,A02,negative control,37618,0.73
11/01/21,14974-DR01,A24,negative control,35882,0.73
11/01/21,14974-DR01,B02,negative control,39561,0.73
11/01/21,14974-DR01,B24,negative control,35957,0.73
11/01/21,14974-DR01,C02,negative control,37036,0.73
11/01/21,14974-DR01,C24,negative control,40745,0.73
11/01/21,14974-DR01,D02,negative control,36937,0.73
11/01/21,14974-DR01,D24,negative control,41221,0.73
11/01/21,14974-DR01,E02,negative control,38930,0.73
11/01/21,14974-DR01,E24,negative control,36419,0.73
11/01/21,14974-DR01,F02,negative control,35000,0.73
11/01/21,14974-DR01,F24,negative control,36503,0.73
11/01/21,14974-DR01,G02,negative control,38032,0.73
11/01/21,14974-DR01,G24,negative control,35148,0.73
11/01/21,14974-DR01,H02,negative control,33009,0.73
11/01/21,14974-DR01,H24,negative control,34356,0.73
11/01/21,14974-DR01,I02,negative control,40012,0.73
11/01/21,14974-DR01,I24,negative control,38604,0.73
11/01/21,14974-DR01,J02,negative control,39708,0.73
11/01/21,14974-DR01,J24,negative control,38216,0.73
11/01/21,14974-DR01,K02,negative control,42163,0.73
11/01/21,14974-DR01,K24,negative control,39946,0.73
11/01/21,14974-DR01,L02,negative control,37486,0.73
11/01/21,14974-DR01,L24,negative control,38872,0.73
11/01/21,14974-DR01,M02,negative control,42128,0.73
11/01/21,14974-DR01,M24,negative control,36330,0.73
11/01/21,14974-DR01,N02,negative control,34911,0.73
11/01/21,14974-DR01,N24,negative control,35984,0.73
11/01/21,14974-DR01,O02,negative control,38366,0.73
11/01/21,14974-DR01,O24,negative control,36150,0.73
11/01/21,14974-DR01,P02,negative control,35114,0.73
11/01/21,14974-DR01,P24,negative control,36239,0.73
11/01/21,14974-DR02,A02,negative control,41382,0.76
11/01/21,14974-DR02,A24,negative control,39696,0.76
11/01/21,14974-DR02,B02,negative control,37992,0.76
11/01/21,14974-DR02,B24,negative control,39185,0.76
