,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_0001,CVD-0019636,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[49.082075   55.66580325 37.33958061 38.48896043 21.90025055 24.48803552
 14.16378172 15.86096537  7.13307243  8.55803454  6.52141417  6.62559772
  2.86826837  3.28500257  2.19611643  2.69014811  1.30887587  2.58596456
  2.57252152  2.98925572  2.07848984  2.93548357  5.06620522  5.13678117]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 2.99670558 69.2550351  -6.9594766   1.29758859],[0.52938537 7.47401076 0.08781765 0.15400728],[2.85671935],[]
1,ID_0002,CVD-0019635,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 85.20352026 102.43077448  97.12413491 119.07997803  82.9484505
  98.30712233  89.36750152  89.44815976  60.67669597  66.21522795
  49.15937248  50.28522698  31.80777015  36.88587805  17.11116798
  19.01671873  11.05171824  11.16934483   7.56997119   8.82689532
   5.12333813   5.30481915   7.04569268   7.2775851 ]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 6.47272535 97.60978662 -5.86007066  1.32445771],[2.21165531 3.21226781 0.04454074 0.18140647],[24.98461417],[3]
2,ID_0003,CVD-0019634,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 87.26030519  97.29889442  95.77647027 105.15298983  88.40632425
 102.79037576  91.60576748 106.29900889  74.81877278  85.6000899
  73.97186134  83.35510242  51.64297389  62.46798089  34.92991591
  35.30296023  18.30423767  20.80800365  14.85273746  15.7500603
   7.46242688   9.42511055   8.29589529   9.34109155]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 7.0628164  98.17061693 -5.46723591  1.26697497],[3.9664024  2.9568375  0.06421869 0.20630813],[41.81869684],[]
3,ID_0004,CVD-0019633,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[81.81251372 90.51015982 86.75619124 93.59197647 61.29171499 75.36321585
 55.00373359 57.08740461 29.6770485  32.42951069 20.44168084 22.61273161
 11.9557626  15.30644002  6.70289519  7.12299015  2.65990127  4.1251925
  2.69014811  3.96723679  1.96758477  2.2902177   3.09007851  4.59569886]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 3.15595843 95.01103803 -6.33691172  1.27277895],[1.57980058 4.61572187 0.05303929 0.1591841 ],[18.63389741],[]
4,ID_0005,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[103.08576635 109.39861277 103.84360806 104.18876368  96.75791317
  97.77337103  94.62695233  96.19515942  91.77066445  97.17810263
  70.63613504  84.04217973  63.71051233  65.15366304  35.920482
  37.15854023  22.82457715  24.40528989  12.73252672  12.81256281
   6.15456076   7.74777913   4.1561597    4.4087736 ]","[-9.30277065 -9.30277065 -9.00217692 -9.00217692 -8.69896998 -8.69896998
 -8.39793999 -8.39793999 -8.09690999 -8.09690999 -7.79588    -7.79588
 -7.60205998 -7.60205998 -7.12493872 -7.12493872 -6.90657832 -6.90657832
 -6.60380066 -6.60380066 -6.30277066 -6.30277066 -6.00217692 -6.00217692]",None,None,[  1.33525461 104.7658808   -7.39957398   1.12266775],[2.51581733 1.67630384 0.03454591 0.08905365],[11.53244787],[]
5,ID_0006,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 79.26601074  83.48461061  64.89803508  68.28957398  96.00579195
 101.8280319   43.0898762   45.63752686  92.83973864  95.14844188
  27.6314926   28.50735268  16.27223515  17.04292472   7.38154013
   7.49091747   4.32738825   4.70516076   2.72206545   3.19407074
   1.59632021   1.82853672   1.35653143   2.26099789]","[-8.71219827 -8.71219827 -8.41116828 -8.41116828 -8.30103001 -8.30103001
 -8.11013828 -8.11013828 -8.00000001 -8.00000001 -7.80910829 -7.80910829
 -6.60414963 -6.60414963 -6.12708657 -6.12708657 -5.90517963 -5.90517963
 -5.60414964 -5.60414964 -5.30320692 -5.30320692 -5.00217693 -5.00217693]",None,None,[ 5.84822417 77.04876394 -7.81748863 40.95605201],[4.22691653e+00 5.17689435e+00 2.26159955e+03 1.10528377e+07],[214.40188051],[]
6,ID_0007,CVD-0019576,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[38.91429702 43.3888159  23.72347034 24.86408786 12.98517472 13.87568093
  7.69161     8.65907354  4.25876352  4.83594347  2.73335935  3.60187776
  1.6751961   2.73610783  0.51259077  1.43333022  0.19651603  0.69673866
  0.99632254  1.51028755  3.0714219   4.64080168  1.5267784   3.03844018]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 2.15689907 54.18689087 -7.04680333  1.63136575],[0.43786447 7.85414146 0.09474694 0.25385324],[2.44753446],[]
7,ID_0008,CVD-0019575,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 99.99093003 100.55161913 101.76369703 102.07152634  95.11513366
  96.15955453  93.59522645  95.43945382  83.9810575   89.70888143
  74.6829633   81.4304718   64.84341932  65.23095444  36.24552686
  36.33897504  21.2910691   21.93696096  13.45516411  13.98012302
   9.49735871  11.36632237   5.95457319   6.44929886]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[  4.57923544 100.52856762  -5.40809941   1.19386148],[1.49324033 1.01844479 0.02233219 0.06347661],[4.77269143],[]
8,ID_0009,CVD-0019562,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[104.61666398 113.94358388 107.16220311 128.61169838  92.21169916
 108.58221859 105.10076017 120.81774975 101.37725366 103.34187735
  90.22287065 101.34901471  91.34436015 100.9899767   92.46181552
  97.46817694  92.15522127 101.81697436  75.06662582  84.22007792
  61.97182393  81.25498876  50.50277841  55.81573407]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ 30.97554841 109.08446839  -4.32919771   0.79261136],[70.21395268  4.61230698  1.01998541  0.59204894],[87.42666778],[]
9,ID_0010,CVD-0019556,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 95.39866573 102.95863454  76.8900548  132.72248184  63.39587355
  72.15801456  48.85281723  60.22907765  31.65530014  32.49036607
  15.89393508  18.70572711   9.22147595  11.96468769   2.39975383
   2.89998656  -0.56936945  -0.44834541  -1.99341907  -1.74733684
  -2.07410177  -1.1301142   -2.51785661  -1.52545943]","[-7.30102999 -7.30102999 -6.99999999 -6.99999999 -6.71219826 -6.71219826
 -6.41116826 -6.41116826 -6.11013827 -6.11013827 -5.80910827 -5.80910827
 -5.60414964 -5.60414964 -5.12708657 -5.12708657 -4.90517963 -4.90517963
 -4.60414964 -4.60414964 -4.30320691 -4.30320691 -4.00217692 -4.00217692]",None,None,[ -3.47454566 114.21321522  -6.49288624   0.93533591],[1.70065317 8.20479589 0.07852976 0.10762624],[13.91089795],[3]
