,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_0690,CVD-0016346,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[100.46902942 101.5938862  102.00152661 105.1876594  103.79937462
 111.1657444  108.53723292 108.86411438 109.1352337  110.73887567
 110.96961553 112.46173324 120.63761533 122.36431855 132.31497468
 132.54763736 132.39573362 135.12615521 103.63401106 110.16010321
   7.67507507   9.58060168]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[  8.6276576  114.46169202  -4.39986879  14.41441974],[1.52316652e+03 2.86879696e+00 4.07631776e+04 7.60585484e+06],[131.679936],[]
1,ID_0738,CVD-0015859,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[102.93025451 107.46236977 103.8339856  107.39699348 103.88590207
 107.65273015 100.43826411 105.31072065 101.70348763 104.87231493
 100.37288782 105.71836106  90.18764618  94.05061587  78.33338628
  80.00048171  63.44489732  64.61590207  27.18220673  29.4261518
  22.46549959  23.73072311]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 10.21835395 104.84421975  -4.94642587   0.97245312],[6.70975624 1.30257532 0.0886779  0.13331965],[15.44208585],[]
2,ID_0788,CVD-0015682,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 1.01443905e+02  1.09223684e+02  9.71252244e+01  9.88000112e+01
  9.49735753e+01  1.00640161e+02  9.83404543e+01  1.04201247e+02
  1.00724766e+02  1.01991912e+02  1.09558257e+02  1.12996281e+02
  1.16640047e+02  1.18105245e+02  9.97787327e+01  1.02905258e+02
  8.75629804e+01  8.90320241e+01  2.31461822e+01  2.55439538e+01
 -7.77839577e-02 -7.77839577e-02]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ -2.13830742 104.37739511  -4.663827     2.57059763],[5.46340539 1.62767561 0.04232338 0.42085114],[40.74760298],[]
3,ID_0796,CVD-0015672,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 97.77129599  99.12112412 100.40942163 101.01511374  98.80770249
 102.42454967  97.87320609 104.32238495  99.85756882 102.88410654
 102.78027361 104.83962679 110.93885021 112.98858923 112.99435773
 114.34226303 108.51608176 111.23881202  50.8407329   50.87918954
  10.88043618  16.10284817]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 13.49164149 104.61807389  -4.48643533  16.95575826],[4.48337431e+00 1.40490597e+00 2.01691446e+03 3.67167540e+06],[31.58017254],[]
4,ID_0797,CVD-0015671,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[102.18996415 103.45518768 103.75514948 110.87155109 100.79206522
 103.26098163  95.93883699 101.93807315  95.5677304  103.23213915
  96.60605973 102.11305087  95.47543446  96.57529442  89.55503442
  89.76462312  81.62719767  86.47081173  32.4334612   39.02492964
   6.25025649   6.33293827]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ -3.93704147 100.35204558  -4.58624366   1.68812068],[7.40347163 1.26820732 0.05713901 0.26911459],[22.58027112],[]
5,ID_0801,CVD-0015666,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[101.66695382 103.20137384 100.05562052 102.80911609 103.57248043
 110.05242461 105.17419957 107.06818919  99.8806428  103.00332213
 105.46262439 106.589404   114.19997345 114.81143406 125.15434793
 126.06769318 114.45378729 120.51839974  83.94997885  86.46696607
  54.54410753  57.15339069]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 55.84874789 109.09677708  -4.47161507  16.26081747],[1.09143719e+01 2.01901535e+00 2.52751470e+03 7.46423712e+06],[65.22276601],[]
6,ID_0802,CVD-0015664,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[91.71245204 95.90999451 90.84333193 95.08509954 89.81269392 94.58324036
 89.88191588 94.93704147 94.81782588 96.86371923 94.55055222 97.51555932
 91.21828419 93.26417754 75.42798698 80.5446432  63.75447329 67.1694231
 27.11106195 27.88980895 13.02439398 13.24936533]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 4.15344126 93.76393245 -4.76893843  1.32092234],[5.34008054 1.00070465 0.05980242 0.1711098 ],[12.0702031],[]
7,ID_0804,CVD-0015662,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[9.98439246e+01 1.00000000e+02 9.77794725e+01 9.81643403e+01
 9.65024919e+01 9.88560382e+01 8.54725715e+01 9.74442651e+01
 8.29576291e+01 8.68169484e+01 8.01447245e+01 8.20353653e+01
 4.14557579e+01 4.64572655e+01 1.28230140e+01 1.30163347e+01
 3.15520636e+00 3.21728180e+00 0.00000000e+00 2.48301793e-02
 5.16999805e+00 5.19128106e+00]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 1.5098768  95.85460091 -5.9669492   1.5243894 ],[1.94072116 1.48697186 0.03543318 0.16854371],[18.17443244],[]
8,ID_0880,CVD-0015380,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 99.95632087 100.          95.10793784  96.13943721  93.57244855
  95.80848383  91.24737505  93.07349853  73.92188156  75.12473751
  40.87358253  41.50356993  15.32465351  17.93196136   7.12809744
   7.37169257   0.           0.26375472   4.53086938   4.88198236
   7.43553129   7.56656867]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 4.09627575 97.58946406 -6.51266832  1.38798573],[0.91185308 0.99498539 0.02098984 0.08214357],[5.50680928],[]
9,ID_0885,CVD-0015376,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 92.93410493  94.53592096  92.96128145  93.26821626  95.9171276
  96.80915689  91.34987371  98.22073728  88.40841513 100.
  78.35949739  81.56153084  52.62653068  53.06934808  27.85273524
  31.68462448   9.30076414   9.82830834   0.           0.
   0.           0.        ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-2.16306245 95.16188192 -5.75804833  1.07937581],[1.53002903 0.89853877 0.02686491 0.06560319],[5.63994436],[9]
