,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_0690,CVD-0016346,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[52.291 52.876 53.088 54.745 54.023 57.854 56.487 56.657 56.798 57.632
 57.752 58.528 62.78  63.678 68.853 68.974 68.895 70.315 53.937 57.331
  4.032  5.023]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[4.04528041e-02 5.27362500e+01 0.00000000e+00 3.84451247e+00],[2.15278044e-02 7.16307302e-01 9.66981840e+07 8.22917199e+07],[7.48758260e+01 7.41514177e-03 9.51337007e+00],"[20, 21]"
1,ID_0738,CVD-0015859,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[53.571 55.928 54.041 55.894 54.068 56.027 52.275 54.809 52.933 54.581
 52.241 55.021 46.944 48.953 40.779 41.646 33.036 33.645 14.177 15.344
 11.724 12.382]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.06424511e-02  5.38706626e+01 -4.79989652e+00  8.75351386e-01],[0.02152776 0.52345519 0.03547666 0.06002393],[4.23640160e+00 7.41517774e-03 1.23638828e+01],[]
2,ID_0788,CVD-0015682,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[52.798 56.844 50.552 51.423 49.433 52.38  51.184 54.232 52.424 53.083
 57.018 58.806 60.701 61.463 51.932 53.558 45.579 46.343 12.078 13.325
  0.     0.   ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.03659784e-02  5.30265280e+01 -4.65952852e+00  2.79329868e+00],[0.02152677 0.52781454 0.02776349 0.33350085],[7.33895835e+00 7.41514931e-03 9.99773681e+00],[13]
3,ID_0796,CVD-0015672,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[50.888 51.59  52.26  52.575 51.427 53.308 50.941 54.295 51.973 53.547
 53.493 54.564 57.736 58.802 58.805 59.506 56.476 57.892 26.481 26.501
  5.699  8.415]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.07882774e-02  5.32948377e+01 -4.46389569e+00  3.05109549e+00],[0.02152829 0.58206143 0.03161921 0.95428742],[1.20503338e+01 7.41525431e-03 1.05953212e+01],[]
4,ID_0797,CVD-0015671,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[53.186 53.844 54.    57.701 52.459 53.743 49.935 53.055 49.742 53.728
 50.282 53.146 49.694 50.266 46.615 46.724 42.492 45.011 16.908 20.336
  3.291  3.334]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.03755567e-02  5.20981574e+01 -4.60946340e+00  1.83997758e+00],[0.02152726 0.46752195 0.02611678 0.20131845],[5.07038426e+00 7.41514774e-03 9.04101557e+00],[]
5,ID_0801,CVD-0015666,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[52.914 53.712 52.076 53.508 53.905 57.275 54.738 55.723 51.985 53.609
 54.888 55.474 59.432 59.75  65.129 65.604 59.564 62.718 43.7   45.009
 28.407 29.764]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.04572413e-02  5.35307846e+01 -3.97222648e+00  1.84172844e+00],[0.02152781 0.68835942 0.0655772  0.47019075],[2.57018975e+01 7.41514179e-03 1.12398041e+01],[]
6,ID_0802,CVD-0015664,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[47.737 49.92  47.285 49.491 46.749 49.23  46.785 49.414 49.352 50.416
 49.213 50.755 47.48  48.544 39.268 41.929 33.197 34.973 14.14  14.545
  6.814  6.931]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]","[46.4250008  47.19610972 49.14726475 49.14058468 51.10093893 51.39309545
 54.13613189 55.32536181 57.9396913  55.23303714 54.14048954 53.80579652
 50.48856522 52.85958704 52.79925982 51.62226373]","[0.15821596 0.         0.         0.23406968 0.         0.
 0.         0.         0.         0.         0.         0.
 0.25495929 0.         0.         0.        ]",[ 4.05182039e-02  4.95525590e+01 -4.74316889e+00  1.17905249e+00],[0.02152733 0.44559698 0.02722229 0.0830481 ],[2.98794279e+00 7.41514605e-03 1.52610094e+01],[]
7,ID_0804,CVD-0015662,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[58.351 58.439 57.187 57.404 56.467 57.794 50.248 56.998 48.83  51.006
 47.244 48.31  25.43  28.25   9.286  9.395  3.835  3.87   2.056  2.07
  4.971  4.983]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 2.90731339 56.10169976 -5.9669492   1.52438934],[1.09423677 0.83839934 0.03543318 0.16854369],[5.77772966],[]
8,ID_0880,CVD-0015380,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[59.865 59.891 56.979 57.593 56.065 57.396 54.681 55.768 44.368 45.084
 24.696 25.071  9.488 11.04   4.609  4.754  0.366  0.523  3.063  3.272
  4.792  4.87 ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 2.80430821 58.45612845 -6.51266832  1.38798574],[0.54278054 0.59226504 0.02098984 0.08214356],[1.95118677],[]
9,ID_0885,CVD-0015376,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[58.134 59.136 58.151 58.343 60.    60.558 57.143 61.441 55.303 62.554
 49.017 51.02  32.92  33.197 17.423 19.82   5.818  6.148  0.     0.
  0.     0.   ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-1.35308108 59.52756344 -5.75804835  1.07937586],[0.95709426 0.56207193 0.02686491 0.0656032 ],[2.20691187],[9]
10,ID_0891,CVD-0015362,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[56.907 57.152 55.922 58.005 54.137 55.375 51.514 52.837 37.484 37.81
 18.452 19.162  6.487  6.899  2.259  2.524  0.     0.     0.     1.289
  0.     1.579]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 0.50691901 57.18455114 -6.6333495   1.29629558],[0.32799628 0.39065027 0.01333234 0.04558216],[0.72558245],[]
11,ID_0893,CVD-0015361,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[56.558 56.659 56.885 57.466 56.734 57.143 50.957 52.688 38.953 45.419
 25.203 26.93  11.134 12.027  6.128  6.86   2.004  3.77   5.475  7.368
  5.629  5.986]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 4.72332953 57.20735727 -6.53693133  1.26210126],[0.68294353 0.76187978 0.02928102 0.09550859],[2.89660505],[]
12,ID_0897,CVD-0015358,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[56.877 58.344 55.928 57.172 54.969 56.093 49.161 49.826 36.915 38.762
 21.137 21.744  8.176  8.279  4.159  4.519  2.248  2.501  0.772  1.505
  0.     7.461]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 1.01668939 57.71783749 -6.62141605  1.09976446],[0.35032807 0.38803781 0.01397898 0.0355356 ],[0.58649298],[21]
13,ID_0899,CVD-0015357,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[58.187 58.886 57.174 57.724 57.645 58.711 52.641 56.148 47.636 48.417
 38.284 42.982 11.12  14.799  4.827  4.96   4.049  4.078  5.657  5.661
 10.138 11.238]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 5.84608407 56.33581109 -6.25851413  1.96804888],[1.21847564 1.11809618 0.04157459 0.31945972],[10.26171165],[]
14,ID_0902,CVD-0015342,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[59.314 59.358 59.364 59.609 58.238 60.745 56.756 57.201 49.002 50.881
 38.472 38.928 16.982 20.037  7.042  7.712  1.803  2.399  3.754  3.823
  8.006  9.083]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 4.2785132  59.13498097 -6.25089915  1.35142674],[0.9220586  0.83965643 0.03337122 0.12401216],[4.59337524],[]
